job,link,time,price,bid,status
Design web forms for my website,https://www.freelancer.com/projects/twitter-bootstrap/design-web-forms-for-website/,3 days left,$21,3 bids,VERIFIED
"vlsi, sequential and combinational circuit problem solving",https://www.freelancer.com/projects/engineering/vlsi-sequential-combinational-circuit/,4 days left,$4 / hr,3 bids,VERIFIED
Big data analytics,https://www.freelancer.com/projects/data-mining/big-data-analytics-28330910/,3 days left,$102 / hr,3 bids,
convert website to an desktop app,https://www.freelancer.com/projects/software-architecture/convert-website-desktop-app/,1 day left,$130,3 bids,
i want modify my laravel project- Home page and Product page design (part-1),https://www.freelancer.com/projects/php/want-modify-laravel-project-home/,5 days left,$10,3 bids,
Auto Script for a Windows Program -,https://www.freelancer.com/projects/software-architecture/auto-script-for-windows-program/,4 days left,$112,3 bids,
SG reviews,https://www.freelancer.com/projects/copy-typing/reviews/,4 days left,$1214,3 bids,
NEED AN EXPERT IN REACT AND NODE,https://www.freelancer.com/projects/nodejs/need-expert-react-and-node/,3 days left,$1521,3 bids,
Model rigging for making animation (Total 30$),https://www.freelancer.com/projects/threed-modelling/model-rigging-for-making-animation-28366195/,6 days left,$31,3 bids,VERIFIED
chinese freelancer,https://www.freelancer.com/projects/simplified-chinese-china/chinese-freelancer-28354729/,5 days left,$2333,3 bids,
program pro,https://www.freelancer.com/contest/program-pro-1854408.html,19 hours left,$29,3 entries,
Get Clients for my Coaching Sessions,https://www.freelancer.com/projects/communications/get-clients-for-coaching-sessions/,6 days left,$400,3 bids,VERIFIED
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28373822/,6 days left,$20 / hr,3 bids,
i need an android devolper,https://www.freelancer.com/projects/software-architecture/need-android-devolper/,18 hours left,$23,3 bids,
Real time use cases - URGENT,https://www.freelancer.com/projects/content-marketing/real-time-use-cases-urgent/,1 day left,$12,3 bids,VERIFIED
Lage enkel applikasjon for win/mac,https://www.freelancer.com/projects/macos/lage-enkel-applikasjon-for-win/,1 day left,$610,3 bids,
I need a backend developer to fix my app errors,https://www.freelancer.com/projects/iphone/need-backend-developer-fix-app/,6 days left,$234,3 bids,VERIFIED
Kickoff Mailwizz campaign with Amazon SES,https://www.freelancer.com/projects/mailwizz/kickoff-mailwizz-campaign-with-amazon/,6 days left,$41,3 bids,VERIFIED
Gmail: Couldn't sign you in (automation),https://www.freelancer.com/projects/python/gmail-couldn-sign-you-automation/,6 days left,$26,3 bids,VERIFIED
NGINX RTMP SERVER,https://www.freelancer.com/projects/linux/nginx-rtmp-server-28367115/,6 days left,$35,3 bids,VERIFIED
Extended Kalman Filter implementation for dynamic state estimation in smart grid,https://www.freelancer.com/projects/matlab-mathematica/extended-kalman-filter-implementation/,6 days left,$140,3 bids,
Artigos sobre inteligencia emocional -- 2,https://www.freelancer.com/projects/articles/artigos-sobre-inteligencia-emocional-28291979/,17 hours left,$23,3 bids,VERIFIED
build query processor,https://www.freelancer.com/projects/java/build-query-processor/,9 hours left,$73,3 bids,VERIFIED
Build popl alike app NFC technology included  -- 2,https://www.freelancer.com/projects/android/build-popl-alike-app-nfc/,1 day left,$176,3 bids,VERIFIED
Test for dwang,https://www.freelancer.com/contest/test-for-dwang-1852015.html,2 hours left,$7,3 entries,
graphic designer,https://www.freelancer.com/projects/indesign/graphic-designer-28298981/,1 day left,$13,3 bids,
photographer,https://www.freelancer.com/projects/mobile-phone/photographer-28331133/,3 days left,$7 / hr,3 bids,
Event Studies Methodology in R (BASIC/INTERMEDIATE),https://www.freelancer.com/projects/r-programming-language/event-studies-methodology-basic/,4 days left,$5 / hr,3 bids,
ASN.1 DER parser program,https://www.freelancer.com/projects/cplusplus-programming/asn-der-parser-program/,4 days left,$176,3 bids,
we need some new designes for the magzine shoots of our models,https://www.freelancer.com/projects/fashion-design/need-some-new-designes-for/,2 days left,$4 / hr,3 bids,
openGL also computer science thing i need,https://www.freelancer.com/projects/software-architecture/opengl-also-computer-science-thing/,4 days left,$65,3 bids,
dating app,https://www.freelancer.com/projects/android/dating-app-28315190/,2 days left,$13333,3 bids,
ParseHub tutorial (20 minut),https://www.freelancer.com/projects/data-scraping/parsehub-tutorial-minut/,11 hours left,$35,3 bids,
Enable Search option in Email client in MacBook Air,https://www.freelancer.com/contest/enable-search-option-in-email-client-in-macbook-air-1853710.html,3 days left,$6,3 entries,
Implement Selenium Grid in th existing framework (written using python and selenium),https://www.freelancer.com/projects/python/implement-selenium-grid-existing/,4 days left,$13 / hr,3 bids,VERIFIED
Edu App maintain - ios - part 2,https://www.freelancer.com/projects/iphone/edu-app-maintain-ios-part/,5 days left,$566,3 bids,VERIFIED
Cryptocurency Developer -- 2,https://www.freelancer.com/projects/blog-install/cryptocurency-developer/,4 days left,$2704,3 bids,
Power Electronics Design Expert,https://www.freelancer.com/projects/electrical-engineering/power-electronics-design-expert/,4 days left,$16666,3 bids,VERIFIED
Create idea/story for video to explain new feature of product,https://www.freelancer.com/contest/create-ideastory-for-video-to-explain-new-feature-of-product-1855252.html,2 days left,$59,3 entries,
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28371822/,6 days left,$21 / hr,3 bids,
Setup Deribit Websocks buy/sell in testmode,https://www.freelancer.com/projects/python/setup-deribit-websocks-buy-sell/,6 days left,$123,3 bids,VERIFIED
Akamai Sensor Data / Cookie Generator,https://www.freelancer.com/projects/php/akamai-sensor-data-cookie-generator/,6 days left,$1041,3 bids,
reinforcement Q learning in ROS turtlebot project,https://www.freelancer.com/projects/software-architecture/reinforcement-learning-ros-turtlebot/,1 day left,$138,3 bids,
I need a program built that finds viral tiktok posts.,https://www.freelancer.com/projects/php/need-program-built-that-finds/,1 day left,$258,3 bids,
Zulu/Xhosa to English interpreter needed,https://www.freelancer.com/projects/translation/zulu-xhosa-english-interpreter-needed/,2 days left,$416,3 bids,
Tiktok follow/unfollow program,https://www.freelancer.com/projects/c-programming/tiktok-follow-unfollow-program/,1 day left,$333,3 bids,
OUTBOUND/INBOUND/FOLLOW UP-SPANISH,https://www.freelancer.com/projects/telemarketing/outbound-inbound-follow-spanish/,2 days left,$533,3 bids,
Unittest or Pytest for my python application,https://www.freelancer.com/projects/python/unittest-pytest-for-python-application/,4 days left,$60,3 bids,
Need Website Expert who can build a website.,https://www.freelancer.com/projects/graphic-design/need-website-expert-who-can/,4 days left,$5000,3 bids,
Webrtc in Node.js with Mssql database ..Now want to intergate with asp.net and Node.js,https://www.freelancer.com/projects/nodejs/webrtc-node-with-mssql-database/,4 days left,$81,3 bids,VERIFIED
WHMCS - Paypal Payment Pro Issues,https://www.freelancer.com/projects/php/whmcs-paypal-payment-pro-issues/,4 days left,$33,3 bids,VERIFIED
FLIP FLOP DESIGNER,https://www.freelancer.com/projects/autocad/flip-flop-designer/,5 days left,$15 / hr,3 bids,
Project-Spanning Tree,https://www.freelancer.com/projects/cplusplus-programming/project-spanning-tree/,2 days left,$23,3 bids,VERIFIED
Openvpn + Phiole,https://www.freelancer.com/projects/linux/openvpn-phiole/,4 days left,$59,3 bids,VERIFIED
IRAC writer needed -- 2,https://www.freelancer.com/projects/content-writing/irac-writer-needed/,2 hours left,$13,3 bids,
Fashion designing,https://www.freelancer.com/projects/business-plans/fashion-designing-28333938/,3 days left,$103,3 bids,
PHP/Mailgun expert,https://www.freelancer.com/projects/php/php-mailgun-expert/,5 days left,$12,3 bids,VERIFIED
Facebook marketing software customization requirements-2,https://www.freelancer.com/projects/facebook-marketing/facebook-marketing-software-28309708/,2 days left,$416,3 bids,VERIFIED
iI need a freelancer from latin america who has wa,https://www.freelancer.com/projects/mobile-phone/need-freelancer-from-latin-america/,5 days left,$617,3 bids,
Convert java code to cuda or opencl. (GPU parallel programming) -- 2,https://www.freelancer.com/projects/java/convert-java-code-cuda-opencl-28359105/,5 days left,$211,3 bids,VERIFIED
build an app on iphone/android,https://www.freelancer.com/projects/android/build-app-iphone-android/,4 days left,$7666,3 bids,VERIFIED
erc20 Blockchain Experrt,https://www.freelancer.com/projects/php/erc-blockchain-experrt/,4 days left,$485,3 bids,VERIFIED
Build a flutter project with different features,https://www.freelancer.com/projects/flutter/build-flutter-project-with-different/,3 days left,$91,3 bids,VERIFIED
Ableton Sound Enginer with experience with Max and Nexus,https://www.freelancer.com/projects/music/ableton-sound-enginer-with-experience/,6 days left,$26,3 bids,VERIFIED
Private project or contest #28232793,https://www.freelancer.com/login?goto=YmU5ZWU4MmI3MjYzYzM2MDQwODkyZjBlM2FkZjE3NmRodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9wcm9kdWN0LWRlc2lnbi9hdXRvbWF0aWMtbGVha2FnZS10ZXN0aW5nLW1hY2hpbmUv,49 days left,,,
E commerce calculator,https://www.freelancer.com/projects/blog-install/commerce-calculator/,6 days left,$13,3 bids,
Article to video converter,https://www.freelancer.com/projects/video-services/article-video-converter/,5 days left,$11,2 bids,
"Play Android, Desktop and PS5 games remotely",https://www.freelancer.com/projects/mobile-phone/play-android-desktop-games-remotely/,6 days left,$20,2 bids,
I need a girl 3d model,https://www.freelancer.com/projects/threed-modelling/need-girl-model/,6 days left,$43,2 bids,
microsoft login and get refresh_token,https://www.freelancer.com/projects/javascript/microsoft-login-get-refresh-token/,18 hours left,$35,2 bids,VERIFIED
Expert in Gatling Using Scala -- 3,https://www.freelancer.com/projects/java/expert-gatling-using-scala-28281110/,Ended,$625,2 bids,VERIFIED
SwordlandVrmmo,https://www.freelancer.com/projects/unity-three-d/swordlandvrmmo/,5 days left,$5 / hr,2 bids,
Build me a software that can send text messages automatically and randomely,https://www.freelancer.com/projects/software-development/build-software-that-can-send/,6 days left,$375,2 bids,
Airbook a1465 charging problems,https://www.freelancer.com/projects/electronics/airbook-charging-problems/,6 days left,$35,2 bids,VERIFIED
Product Feeds for Google Shopping,https://www.freelancer.com/projects/engineering/product-feeds-for-google-shopping/,6 days left,$170,2 bids,
Facility management,https://www.freelancer.com/projects/marketing/facility-management/,6 days left,$94,2 bids,
Wix Developer for Custom code work,https://www.freelancer.com/projects/html/wix-developer-for-custom-code/,6 days left,$40,2 bids,
Project Management,https://www.freelancer.com/contest/project-management-1855246.html,4 days left,$15,2 entries,
Generate a ERC20 token on Ethereum with a special function,https://www.freelancer.com/projects/ethereum/generate-erc-token-ethereum-with/,6 days left,$145,2 bids,
C#  window form application,https://www.freelancer.com/projects/c-sharp-programming/window-form-application-28370841/,6 days left,$18,2 bids,
Need microprocessor,https://www.freelancer.com/projects/verilog-vhdl/need-microprocessor/,9 hours left,$90,2 bids,
"Post on forums, adretise this website legalpaperline.com",https://www.freelancer.com/projects/forum-posting/post-forums-adretise-this-website/,2 days left,$38,2 bids,
Redirect to my whmcs website geo location based,https://www.freelancer.com/projects/javascript/redirect-whmcs-website-geo-location/,4 days left,$43,2 bids,VERIFIED
twitter api and geo map,https://www.freelancer.com/projects/twitter/twitter-api-geo-map/,4 days left,$95,2 bids,
Looking for Alibaba cloud storage service expert,https://www.freelancer.com/projects/cloud-computing/looking-for-alibaba-cloud-storage/,4 days left,$70,2 bids,VERIFIED
Letterhead design and Business card design,https://www.freelancer.com/projects/business-plans/letterhead-design-business-card-design/,5 days left,$15,2 bids,
Hnnn skid d skid d,https://www.freelancer.com/projects/mobile-phone/hnnn-skid-skid/,5 days left,$6 / hr,2 bids,
A mobile application using Geolocation and MQTT,https://www.freelancer.com/projects/android/mobile-application-using-geolocation/,5 days left,$94,2 bids,VERIFIED
i am searching for data entry employee,https://www.freelancer.com/projects/excel/searching-for-data-entry-employee/,5 days left,$1520,2 bids,
TE CREAMOS TU WEB,https://www.freelancer.com/projects/website-design/creamos-web/,6 days left,$44,2 bids,
I need a filming crew for an advert,https://www.freelancer.com/projects/video-editing/need-filming-crew-for-advert/,4 days left,$1000,2 bids,
build me dashboard for discord bot,https://www.freelancer.com/projects/website-design/build-dashboard-for-discord-bot/,6 days left,$30,2 bids,VERIFIED
SaleForce Developer -- 2,https://www.freelancer.com/projects/salesforce-com/saleforce-developer-28282823/,2 hours left,$970,3 bids,VERIFIED
I need a Java Dev that is experienced with Java8 and knows JavaFX -- 2,https://www.freelancer.com/projects/java/need-java-dev-that-experienced-28313249/,2 days left,$106,3 bids,
EXPERIENCED FUNDRAISER NEEDED 20% cOMISSION STRANDED IN CAMBODIA NEARLY A YEAR,https://www.freelancer.com/projects/fundraising/experienced-fundraiser-needed-comission/,17 hours left,$103,3 bids,VERIFIED
HR FOR RESTAURANT,https://www.freelancer.com/projects/business-plans/for-restaurant/,3 days left,$3 / hr,3 bids,
metal export knowledgeable,https://www.freelancer.com/projects/excel/metal-export-knowledgeable/,1 day left,$602,3 bids,
reseller project - website design,https://www.freelancer.com/projects/website-design/reseller-project-website-design/,3 days left,$12,3 bids,
Analyst Domains,https://www.freelancer.com/projects/website-build/analyst-domains/,Ending left,$8 / hr,3 bids,
Danish to Danish Transcription project,https://www.freelancer.com/projects/danish/danish-danish-transcription-project/,2 days left,$31 / hr,3 bids,
needs to be done in UNIX,https://www.freelancer.com/projects/unix/needs-done-unix/,3 days left,$23,3 bids,VERIFIED
Product photos to be done for our website.,https://www.freelancer.com/projects/graphic-design/product-photos-done-for-our/,2 days left,$142,3 bids,VERIFIED
Looking for Trainer for AI ON EDGE COMPUTING   (INDIAN only),https://www.freelancer.com/projects/training/looking-for-trainer-for-edge/,3 days left,$583,3 bids,VERIFIED
DevOps Mentorship,https://www.freelancer.com/projects/devops/devops-mentorship/,3 days left,$4 / hr,3 bids,
"Authentication Key, Cookies & CS Key",https://www.freelancer.com/projects/software-architecture/authentication-key-cookies-key/,4 days left,$281,3 bids,VERIFIED
Add external payment gateway to Shopify,https://www.freelancer.com/projects/php/add-external-payment-gateway-shopify/,2 days left,$23,3 bids,
I need someone to sell my health products.,https://www.freelancer.com/projects/consumer-products/need-someone-sell-health-products/,5 days left,$14,3 bids,VERIFIED
"Looking forward for someone who can convert PLR products into my brand, product includes softwares, ebooks, pdfs etc.",https://www.freelancer.com/projects/video-editing/looking-forward-for-someone-who/,4 days left,$71,3 bids,VERIFIED
Caching with Nodejs,https://www.freelancer.com/projects/nodejs/caching-with-nodejs/,5 days left,$31,3 bids,
Get access to downloading files EC2,https://www.freelancer.com/projects/python/get-access-downloading-files/,4 days left,$26,3 bids,VERIFIED
weather Data file transfer,https://www.freelancer.com/projects/software-testing/weather-data-file-transfer/,1 day left,$21,3 bids,VERIFIED
City wise personalized products display Geoip,https://www.freelancer.com/projects/mysql/city-wise-personalized-products-display/,6 days left,$54,3 bids,
Locate iPhone or iPad,https://www.freelancer.com/projects/mobile-phone/locate-iphone-ipad/,4 days left,$93,3 bids,
creating an annotation command line interface using Python,https://www.freelancer.com/projects/python/creating-annotation-command-line/,6 days left,$26,3 bids,VERIFIED
Merge 2 Laravel scripts & Re-design webpages .,https://www.freelancer.com/projects/mysql/merge-laravel-scripts-design-webpages/,4 days left,$76,3 bids,
Mobile Development,https://www.freelancer.com/projects/mobile-phone/mobile-development-28353440/,5 days left,$5 / hr,3 bids,
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28373576/,6 days left,$18 / hr,2 bids,
Chat System,https://www.freelancer.com/projects/nodejs/chat-system/,16 hours left,$3 / hr,2 bids,
Learn - VPS server management,https://www.freelancer.com/projects/mailwizz/learn-vps-server-management/,18 hours left,$59,2 bids,VERIFIED
Vimeo Developer/Consultant,https://www.freelancer.com/projects/php/vimeo-developer-consultant/,1 day left,$30 - $250,2 bids,VERIFIED
I Wanted to Make an Website Similar Like This : https://goteverythingin.blogspot.com,https://www.freelancer.com/projects/html/wanted-make-website-similar-like-28314128/,2 days left,$32,2 bids,
A fluttter device tracking using Google maps and Firebase firestore (for food order app),https://www.freelancer.com/projects/android/fluttter-device-tracking-using-google/,2 days left,$182,2 bids,VERIFIED
assembly task in mars,https://www.freelancer.com/projects/assembler/assembly-task-mars/,1 day left,$6 / hr,2 bids,VERIFIED
automate the data updation in google analytics using API,https://www.freelancer.com/projects/python/automate-the-data-updation-google/,1 day left,$140,2 bids,
LinkedIn Outreach expert wanted -- 3,https://www.freelancer.com/projects/internet-marketing/linkedin-outreach-expert-wanted-28292150/,17 hours left,$153,2 bids,VERIFIED
"Affiliate writers needed, bulk work, $0.5-1 per 100words -- 9",https://www.freelancer.com/projects/blog/affiliate-writers-needed-bulk-work-28317780/,2 days left,$5 / hr,2 bids,VERIFIED
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28320599/,2 days left,$15 / hr,2 bids,
ONLINE PROJECT HELP,https://www.freelancer.com/projects/internet-research/online-project-help/,4 days left,$793,2 bids,VERIFIED
caller identification app (java),https://www.freelancer.com/projects/java/caller-identification-app-java/,4 days left,$60,2 bids,VERIFIED
Optimization techniques in wsn,https://www.freelancer.com/projects/matlab/optimization-techniques-wsn/,5 days left,$130,2 bids,VERIFIED
Audio buffer by Video url in C# asp.net API side,https://www.freelancer.com/projects/asp-net/audio-buffer-video-url-asp/,6 days left,$78,2 bids,VERIFIED
DBA Beta testers for Oracle migration product,https://www.freelancer.com/projects/oracle/dba-beta-testers-for-oracle/,2 days left,$28,2 bids,VERIFIED
Urgently Looking for Mathematical Finance and Accounting Expert with Master/PhD -- Should be available today,https://www.freelancer.com/projects/finance/urgently-looking-for-mathematical/,1 day left,$33,2 bids,VERIFIED
Social App Development (Instagram like),https://www.freelancer.com/projects/flutter/social-app-development-instagram-like/,6 days left,$60,2 bids,
"I need an editor, specifically familiar with the design industry.",https://www.freelancer.com/projects/editing/need-editor-specifically-familiar-with/,6 days left,$126,2 bids,
I need sales people,https://www.freelancer.com/projects/php/need-sales-people/,Ended,$111,2 bids,
Setting up and using HMCR RTI Scheme,https://www.freelancer.com/projects/software-testing/setting-using-hmcr-rti-scheme/,4 hours left,$241,2 bids,
Hyper -v control panel Client,https://www.freelancer.com/projects/php/hyper-control-panel-client/,5 hours left,$25,2 bids,VERIFIED
need help with screen cast from windows 10 to multiple Android TVs,https://www.freelancer.com/projects/android/need-help-with-screen-cast/,1 day left,$13 / hr,2 bids,VERIFIED
Need HTML5 Gambling Game expert -- 2,https://www.freelancer.com/projects/html-five/need-html-gambling-game-expert-28299316/,1 day left,$15,2 bids,VERIFIED
"R server, Application, coding on R server.",https://www.freelancer.com/projects/r-programming-language/server-application-coding-server/,1 day left,$1025,2 bids,
Posting articles or answering questions on sites and forums,https://www.freelancer.com/projects/forum-posting/posting-articles-answering-questions/,2 days left,$11 / hr,2 bids,
unity 3d game development,https://www.freelancer.com/projects/unity-three-d/unity-game-development-28339058/,4 days left,$405,2 bids,
Need flutter and Django Developer,https://www.freelancer.com/projects/mobile-phone/need-flutter-django-developer/,3 days left,$107,2 bids,
Sports Scheduling Problem,https://www.freelancer.com/projects/c-programming/sports-scheduling-problem/,5 days left,$145,2 bids,VERIFIED
I need an Immigration law professional,https://www.freelancer.com/projects/visa-immigration/need-immigration-law-professional/,5 days left,$999,2 bids,
solving math questions of matlab -- 2,https://www.freelancer.com/contest/solving-math-questions-of-matlab-1854214.html,8 hours left,$30,2 entries,
I need expert in python for dokkan battle,https://www.freelancer.com/projects/python/need-expert-python-for-dokkan-28366332/,6 days left,$136,2 bids,
Sailor Moon.and DBZ Crossover,https://www.freelancer.com/projects/threed-animation/sailor-moon-dbz-crossover/,6 days left,$18 / hr,2 bids,
Need an Expert in Java -- 4,https://www.freelancer.com/projects/java/need-expert-java-28372529/,6 days left,$9 / hr,2 bids,VERIFIED
Proof reading and correction -,https://www.freelancer.com/projects/proofreading/proof-reading-correction-28373469/,6 days left,$20 / hr,2 bids,
Gamme Theoory,https://www.freelancer.com/projects/economics/gamme-theoory/,6 days left,$50 / hr,2 bids,VERIFIED
spn online service,https://www.freelancer.com/projects/leads/spn-online-service/,8 hours left,$5 / hr,2 bids,
Bookflip search function,https://www.freelancer.com/projects/php/bookflip-search-function/,1 day left,$50,2 bids,
Tradelines,https://www.freelancer.com/projects/corporate-income-tax/tradelines-28300266/,1 day left,$375,2 bids,
Design webtech,https://www.freelancer.com/projects/website-design/design-webtech/,3 days left,$94,2 bids,
I Wanted to Make an Website Similar Like This : https://goteverythingin.blogspot.com,https://www.freelancer.com/projects/html/wanted-make-website-similar-like-28313903/,2 days left,$18,2 bids,
Photographer job in Marseille,https://www.freelancer.com/projects/photography/photographer-job-marseille/,3 days left,$195,2 bids,VERIFIED
App download with my referral,https://www.freelancer.com/projects/android/app-download-with-referral/,2 days left,$3 / hr,2 bids,
music app  -- 2,https://www.freelancer.com/projects/software-architecture/music-app-28346423/,4 days left,$600,2 bids,
Digital Marketing,https://www.freelancer.com/projects/communications/digital-marketing-28331101/,3 days left,$9,2 bids,
Build site using rehub theme,https://www.freelancer.com/projects/php/build-site-using-rehub-theme/,5 days left,$9,2 bids,VERIFIED
Backend developer needed,https://www.freelancer.com/projects/mobile-phone/backend-developer-needed-28351818/,5 days left,$22,2 bids,
"Thoughtspot ( connections with servers, pinbords, TSQL, pentaho jobs) 
Asg rochade 
Becubic",https://www.freelancer.com/projects/software-architecture/thoughtspot-connections-with-servers/,5 days left,$195,2 bids,VERIFIED
Need to help with Apple Pay Checkout Integration,https://www.freelancer.com/projects/ecommerce/need-help-with-apple-pay-28355002/,5 days left,$145,2 bids,
Help with Amlogic AOSP Android 9 customization.,https://www.freelancer.com/projects/android/help-with-amlogic-aosp-android-28335288/,4 days left,$14 / hr,2 bids,VERIFIED
"Iframe Amazon, Semrush, Google, twitter .. and more",https://www.freelancer.com/projects/php/iframe-amazon-semrush-google-twitter-28355242/,5 days left,$26,2 bids,
"Php api, Vue.js,  Doctrain Project",https://www.freelancer.com/projects/php/php-api-vue-doctrain-project/,5 days left,$28,2 bids,VERIFIED
MapReduce Project -- 2,https://www.freelancer.com/projects/mysql/mapreduce-project/,5 days left,$22,2 bids,VERIFIED
Computer networks -- 2,https://www.freelancer.com/projects/computer-science/computer-networks-28360557/,6 days left,$96,2 bids,VERIFIED
MODAPTs Task,https://www.freelancer.com/projects/industrial-engineering/modapts-task/,5 days left,$160,2 bids,VERIFIED
Wanted experts to do Tamil educational animation videos,https://www.freelancer.com/projects/animation/wanted-experts-tamil-educational/,6 days left,$14,2 bids,VERIFIED
designing,https://www.freelancer.com/projects/business-plans/designing-28314022/,2 days left,$15,2 bids,
Looking for someone to build a cloud-based email listserve,https://www.freelancer.com/projects/php/looking-for-someone-build-cloud/,6 days left,$126,2 bids,
Publication in Major high authority domains. -- 2,https://www.freelancer.com/projects/advertising/publication-major-high-authority-domains/,6 days left,$816,2 bids,VERIFIED
A graphic engine with several material possibilities including material acquisition and traitement before rendering,https://www.freelancer.com/projects/cplusplus-programming/graphic-engine-with-several-material/,6 days left,$225,2 bids,
I need an vector art & graphics art video maker,https://www.freelancer.com/projects/illustration/need-vector-art-graphics-art/,6 days left,$47,2 bids,VERIFIED
Protected dlls VMP 3.x,https://www.freelancer.com/projects/windows/protected-dlls-vmp/,4 days left,$150,2 bids,VERIFIED
Marketing of Animal Venoms,https://www.freelancer.com/projects/marketing/marketing-animal-venoms-28354058/,5 days left,$120,2 bids,
